date,day_of_week,month,year,is_weekend,promo_discount,competitor_price,demand_index,customer_segment,price
2020-08-16,6,8,2020,1,11.24,191.13,73.2,A,136.71
2021-07-17,5,7,2021,1,4.68,48.08,5.81,B,188.38
2021-04-02,4,4,2021,0,18.03,147.45,2.06,B,188.35
2020-07-28,1,7,2020,0,24.97,58.22,18.18,A,40.64
2022-05-14,5,5,2022,1,9.13,114.46,43.19,A,79.07
2020-03-02,0,3,2020,0,18.36,45.11,29.21,A,86.08
2021-03-23,1,3,2021,0,13.68,161.33,19.97,B,107.95
2022-10-31,0,10,2022,0,17.77,28.36,60.75,A,52.33
2021-02-11,3,2,2021,0,1.95,190.8,96.56,D,156.31
2021-03-27,5,3,2021,1,9.14,37.58,68.42,D,94.55
2021-07-23,4,7,2021,0,3.66,109.13,3.44,A,203.4
2020-11-22,6,11,2020,1,7.76,139.25,31.17,D,100.8
2021-11-27,5,11,2021,1,16.4,53.27,96.96,C,152.14
2020-11-14,5,11,2020,1,28.18,181.07,59.79,B,172.92
2021-11-20,5,11,2021,1,2.65,55.28,4.52,A,91.96
2020-07-08,2,7,2020,0,11.66,68.84,82.87,D,78.66
2020-07-17,4,7,2020,0,8.43,117.69,14.09,C,153.42
2021-12-05,6,12,2021,1,2.24,197.64,77.22,C,58.3
2020-03-29,6,3,2020,1,0.17,166.78,70.69,D,143.8
2020-09-12,5,9,2020,1,23.14,33.33,35.85,D,26.67
2020-06-10,2,6,2020,0,25.89,132.19,33.09,C,11.64
2022-01-10,0,1,2022,0,9.33,78.53,72.96,B,145.74
2020-05-22,4,5,2020,0,26.62,105.0,11.96,A,140.48
2021-04-11,6,4,2021,1,22.82,121.03,77.1,C,92.83
2020-06-12,4,6,2020,0,15.68,96.96,2.54,B,30.6
2020-07-25,5,7,2020,1,0.94,134.55,31.44,D,105.31
2021-07-23,4,7,2021,0,27.23,64.87,41.04,D,125.67
2022-01-17,0,1,2022,0,6.86,33.86,28.98,B,56.03
2022-01-28,4,1,2022,0,27.89,165.46,63.34,C,149.18
2021-03-05,4,3,2021,0,24.11,53.58,89.26,C,103.76
2020-05-26,1,5,2020,0,24.22,181.3,31.8,B,20.69
2022-12-29,3,12,2022,0,6.84,96.88,81.8,B,190.5
2020-11-30,0,11,2020,0,0.21,111.93,41.74,D,61.51
2022-02-16,2,2,2022,0,3.6,80.77,94.29,C,85.47
2021-03-25,3,3,2021,0,15.56,146.54,36.36,C,176.39
2020-04-24,4,4,2020,0,28.87,65.32,49.72,B,59.85
2020-03-06,4,3,2020,0,8.55,26.64,60.96,C,110.86
2022-04-01,4,4,2022,0,1.54,70.16,90.83,C,73.3
2020-05-15,4,5,2020,0,4.35,108.1,98.57,B,77.36
2021-10-06,2,10,2021,0,20.16,157.09,23.76,B,142.21
2022-10-19,2,10,2022,0,11.03,133.82,63.35,D,103.55
2022-07-28,3,7,2022,0,2.71,170.35,32.08,B,58.33
2021-06-26,5,6,2021,1,1.22,126.36,67.76,B,33.84
2021-05-20,3,5,2021,0,15.36,60.77,64.52,C,46.97
2022-05-27,4,5,2022,0,20.73,89.61,93.67,D,35.02
2022-01-11,1,1,2022,0,10.23,40.43,92.47,B,194.16
2020-10-10,5,10,2020,1,7.74,138.8,81.72,D,111.09
2020-07-05,6,7,2020,1,15.89,63.53,9.31,A,190.7
2020-08-12,2,8,2020,0,27.01,133.96,33.9,B,65.67
2020-11-23,0,11,2020,0,21.78,181.48,88.71,D,133.56
2020-05-10,6,5,2020,1,19.26,35.15,16.16,D,155.1
2022-02-20,6,2,2022,1,18.19,21.66,10.15,D,118.05
2022-12-19,0,12,2022,0,0.15,48.95,54.87,C,149.56
2020-01-24,4,1,2020,0,19.56,60.37,71.22,A,62.97
2021-06-30,2,6,2021,0,9.76,154.37,64.96,C,163.28
2020-08-16,6,8,2020,1,19.73,122.3,9.37,C,67.72
